Frame,Time,X (cm),Y (cm),Z (cm)
901.0,3.0,20.721799999999998,47.8934,55.7669
902.0,3.00333,20.7103,47.957499999999996,55.930600000000005
903.0,3.00667,20.706899999999997,48.0212,56.1048
904.0,3.01,20.6939,48.0745,56.2641
905.0,3.01333,20.7004,48.1389,56.4276
906.0,3.01667,20.6954,48.209500000000006,56.589200000000005
907.0,3.02,20.6841,48.2692,56.76520000000001
908.0,3.02333,20.6801,48.3278,56.9187
909.0,3.02667,20.6774,48.382400000000004,57.0911
910.0,3.03,20.661099999999998,48.4403,57.252599999999994
911.0,3.03333,20.6683,48.506,57.420500000000004
912.0,3.03667,20.6548,48.5685,57.5933
913.0,3.04,20.6618,48.6206,57.75019999999999
914.0,3.04333,20.6512,48.6903,57.915
915.0,3.04667,20.644,48.7405,58.0985
916.0,3.05,20.6383,48.7895,58.2487
917.0,3.05333,20.627299999999998,48.8581,58.4227
918.0,3.05667,20.6201,48.914699999999996,58.5896
919.0,3.06,20.6203,48.9666,58.75750000000001
920.0,3.06333,20.609,49.0168,58.9273
921.0,3.06667,20.6095,49.0855,59.0912
922.0,3.07,20.6014,49.140100000000004,59.2546
923.0,3.07333,20.5925,49.1952,59.4279
924.0,3.07667,20.5943,49.240899999999996,59.5961
925.0,3.08,20.5761,49.2958,59.767399999999995
926.0,3.08333,20.5779,49.358999999999995,59.9375
927.0,3.08667,20.5768,49.4094,60.0973
928.0,3.09,20.5629,49.4657,60.275099999999995
929.0,3.09333,20.5647,49.5249,60.440200000000004
930.0,3.09667,20.5572,49.5702,60.6106
931.0,3.1,20.5465,49.6148,60.7846
932.0,3.10333,20.5348,49.6779,60.947199999999995
933.0,3.10667,20.5263,49.7218,61.1245
934.0,3.11,20.524,49.7748,61.2906
935.0,3.11333,20.5222,49.8279,61.464999999999996
936.0,3.11667,20.5124,49.8857,61.62910000000001
937.0,3.12,20.5128,49.9283,61.7966
938.0,3.12333,20.508699999999997,49.9802,61.981700000000004
939.0,3.12667,20.496299999999998,50.0366,62.1346
940.0,3.13,20.4955,50.0843,62.3202
941.0,3.13333,20.4821,50.1372,62.4831
942.0,3.13667,20.4784,50.1719,62.657799999999995
943.0,3.14,20.4732,50.230399999999996,62.82899999999999
944.0,3.14333,20.462,50.288799999999995,62.9988
945.0,3.14667,20.465,50.3314,63.1691
946.0,3.15,20.4559,50.382400000000004,63.3377
947.0,3.15333,20.4447,50.4302,63.5203
948.0,3.15667,20.4429,50.4757,63.678200000000004
949.0,3.16,20.438200000000002,50.527699999999996,63.855999999999995
950.0,3.16333,20.4311,50.5658,64.0283
951.0,3.16667,20.4251,50.617200000000004,64.1944
952.0,3.17,20.4083,50.6727,64.3755
953.0,3.17333,20.409,50.7136,64.5437
954.0,3.17667,20.4054,50.759,64.7087
955.0,3.18,20.3901,50.804500000000004,64.8966
956.0,3.18333,20.386400000000002,50.8609,65.0538
957.0,3.18667,20.377000000000002,50.8956,65.2401
958.0,3.19,20.3688,50.9447,65.4037
959.0,3.19333,20.374100000000002,50.990899999999996,65.5784
960.0,3.19667,20.3519,51.0413,65.7461
961.0,3.2,20.3487,51.080200000000005,65.928
962.0,3.20333,20.3394,51.1165,66.0906
963.0,3.20667,20.333000000000002,51.1745,66.2696
964.0,3.21,20.321,51.216899999999995,66.4431
965.0,3.21333,20.3178,51.2599,66.6108
966.0,3.21667,20.3062,51.299699999999994,66.7903
